date,section,row_name,count
03-28,age group,0 to 17,27
03-29,age group,0 to 17,34
03-30,age group,0 to 17,37
03-28,age group,18 to 40,674
03-29,age group,18 to 40,812
03-30,age group,18 to 40,918
03-28,age group,41 to 65,676
03-29,age group,41 to 65,797
03-30,age group,41 to 65,943
03-28,age group,over 65,343
03-29,age group,over 65,395
03-30,age group,over 65,467
03-28,city/community,city of agoura hills,9
03-29,city/community,city of agoura hills,9
03-30,city/community,city of agoura hills,9
03-28,city/community,city of alhambra,10
03-29,city/community,city of alhambra,10
03-30,city/community,city of alhambra,11
03-28,city/community,city of arcadia,8
03-29,city/community,city of arcadia,9
03-30,city/community,city of arcadia,9
03-28,city/community,city of artesia,0
03-29,city/community,city of artesia,0
03-30,city/community,city of artesia,0
03-28,city/community,city of avalon,0
03-29,city/community,city of avalon,0
03-30,city/community,city of avalon,0
03-28,city/community,city of azuza,1
03-29,city/community,city of azuza,2
03-30,city/community,city of azuza,3
03-28,city/community,city of baldwin park,0
03-29,city/community,city of baldwin park,0
03-30,city/community,city of baldwin park,0
03-28,city/community,city of bell,5
03-29,city/community,city of bell,6
03-30,city/community,city of bell,11
03-28,city/community,city of bell gardens,1
03-29,city/community,city of bell gardens,1
03-30,city/community,city of bell gardens,2
03-28,city/community,city of bellflower,12
03-29,city/community,city of bellflower,14
03-30,city/community,city of bellflower,17
03-28,city/community,city of beverly hills,21
03-29,city/community,city of beverly hills,24
03-30,city/community,city of beverly hills,28
03-28,city/community,city of bradbury,0
03-29,city/community,city of bradbury,0
03-30,city/community,city of bradbury,0
03-28,city/community,city of burbank,17
03-29,city/community,city of burbank,19
03-30,city/community,city of burbank,21
03-28,city/community,city of calabasas,10
03-29,city/community,city of calabasas,10
03-30,city/community,city of calabasas,11
03-28,city/community,city of carson,26
03-29,city/community,city of carson,28
03-30,city/community,city of carson,35
03-28,city/community,city of cerritos,1
03-29,city/community,city of cerritos,4
03-30,city/community,city of cerritos,5
03-28,city/community,city of claremont,1
03-29,city/community,city of claremont,1
03-30,city/community,city of claremont,1
03-28,city/community,city of commerce,0
03-29,city/community,city of commerce,0
03-30,city/community,city of commerce,0
03-28,city/community,city of compton,9
03-29,city/community,city of compton,11
03-30,city/community,city of compton,13
03-28,city/community,city of covina,3
03-29,city/community,city of covina,6
03-30,city/community,city of covina,8
03-28,city/community,city of cudahy,0
03-29,city/community,city of cudahy,0
03-30,city/community,city of cudahy,0
03-28,city/community,city of culver city,7
03-29,city/community,city of culver city,9
03-30,city/community,city of culver city,14
03-28,city/community,city of diamond bar,2
03-29,city/community,city of diamond bar,3
03-30,city/community,city of diamond bar,3
03-28,city/community,city of downey,18
03-29,city/community,city of downey,19
03-30,city/community,city of downey,25
03-28,city/community,city of duarte,0
03-29,city/community,city of duarte,0
03-30,city/community,city of duarte,0
03-28,city/community,city of el monte,0
03-29,city/community,city of el monte,0
03-30,city/community,city of el monte,1
03-28,city/community,city of el segundo,0
03-29,city/community,city of el segundo,0
03-30,city/community,city of el segundo,0
03-28,city/community,city of gardena,6
03-29,city/community,city of gardena,6
03-30,city/community,city of gardena,7
03-28,city/community,city of glendale,36
03-29,city/community,city of glendale,46
03-30,city/community,city of glendale,62
03-28,city/community,city of glendora,4
03-29,city/community,city of glendora,6
03-30,city/community,city of glendora,6
03-28,city/community,city of hawaiian gardens,0
03-29,city/community,city of hawaiian gardens,0
03-30,city/community,city of hawaiian gardens,0
03-28,city/community,city of hawthorne,11
03-29,city/community,city of hawthorne,11
03-30,city/community,city of hawthorne,13
03-28,city/community,city of hermosa beach,0
03-29,city/community,city of hermosa beach,6
03-30,city/community,city of hermosa beach,7
03-28,city/community,city of hidden hills,0
03-29,city/community,city of hidden hills,0
03-30,city/community,city of hidden hills,0
03-28,city/community,city of huntington park,2
03-29,city/community,city of huntington park,2
03-30,city/community,city of huntington park,4
03-28,city/community,city of industry,0
03-29,city/community,city of industry,0
03-30,city/community,city of industry,0
03-28,city/community,city of inglewood,14
03-29,city/community,city of inglewood,20
03-30,city/community,city of inglewood,26
03-28,city/community,city of irwindale,0
03-29,city/community,city of irwindale,0
03-30,city/community,city of irwindale,0
03-28,city/community,city of la canada flintridge,7
03-29,city/community,city of la canada flintridge,7
03-30,city/community,city of la canada flintridge,8
03-28,city/community,city of la habra heights,0
03-29,city/community,city of la habra heights,0
03-30,city/community,city of la habra heights,0
03-28,city/community,city of la mirada,6
03-29,city/community,city of la mirada,7
03-30,city/community,city of la mirada,7
03-28,city/community,city of la puente,2
03-29,city/community,city of la puente,3
03-30,city/community,city of la puente,3
03-28,city/community,city of la verne,1
03-29,city/community,city of la verne,1
03-30,city/community,city of la verne,2
03-28,city/community,city of lakewood,11
03-29,city/community,city of lakewood,12
03-30,city/community,city of lakewood,13
03-28,city/community,city of lancaster,19
03-29,city/community,city of lancaster,23
03-30,city/community,city of lancaster,27
03-28,city/community,city of lawndale,3
03-29,city/community,city of lawndale,4
03-30,city/community,city of lawndale,4
03-28,city/community,city of lomita,0
03-29,city/community,city of lomita,0
03-30,city/community,city of lomita,0
03-28,city/community,city of long beach,0
03-29,city/community,city of long beach,0
03-30,city/community,city of long beach,0
03-28,city/community,city of los angeles,839
03-29,city/community,city of los angeles,1020
03-30,city/community,city of los angeles,1171
03-28,city/community,city of lynwood,13
03-29,city/community,city of lynwood,14
03-30,city/community,city of lynwood,16
03-28,city/community,city of malibu,0
03-29,city/community,city of malibu,0
03-30,city/community,city of malibu,0
03-28,city/community,city of manhattan beach,23
03-29,city/community,city of manhattan beach,27
03-30,city/community,city of manhattan beach,31
03-28,city/community,city of maywood,2
03-29,city/community,city of maywood,4
03-30,city/community,city of maywood,5
03-28,city/community,city of monrovia,4
03-29,city/community,city of monrovia,4
03-30,city/community,city of monrovia,4
03-28,city/community,city of montebello,3
03-29,city/community,city of montebello,4
03-30,city/community,city of montebello,4
03-28,city/community,city of monterey park,5
03-29,city/community,city of monterey park,5
03-30,city/community,city of monterey park,5
03-28,city/community,city of norwalk,12
03-29,city/community,city of norwalk,12
03-30,city/community,city of norwalk,15
03-28,city/community,city of palmdale,6
03-29,city/community,city of palmdale,7
03-30,city/community,city of palmdale,9
03-28,city/community,city of palos verdes estates,14
03-29,city/community,city of palos verdes estates,14
03-30,city/community,city of palos verdes estates,14
03-28,city/community,city of paramount,5
03-29,city/community,city of paramount,6
03-30,city/community,city of paramount,7
03-28,city/community,city of pasadena,0
03-29,city/community,city of pasadena,0
03-30,city/community,city of pasadena,0
03-28,city/community,city of pico rivera,5
03-29,city/community,city of pico rivera,5
03-30,city/community,city of pico rivera,6
03-28,city/community,city of pomona,4
03-29,city/community,city of pomona,4
03-30,city/community,city of pomona,5
03-28,city/community,city of rancho palos verdes,8
03-29,city/community,city of rancho palos verdes,8
03-30,city/community,city of rancho palos verdes,10
03-28,city/community,city of redondo beach,24
03-29,city/community,city of redondo beach,29
03-30,city/community,city of redondo beach,34
03-28,city/community,city of rolling hills,0
03-29,city/community,city of rolling hills,0
03-30,city/community,city of rolling hills,0
03-28,city/community,city of rolling hills estates,0
03-29,city/community,city of rolling hills estates,0
03-30,city/community,city of rolling hills estates,0
03-28,city/community,city of rosemead,1
03-29,city/community,city of rosemead,2
03-30,city/community,city of rosemead,2
03-28,city/community,city of san dimas,2
03-29,city/community,city of san dimas,3
03-30,city/community,city of san dimas,3
03-28,city/community,city of san fernando,0
03-29,city/community,city of san fernando,0
03-30,city/community,city of san fernando,0
03-28,city/community,city of san gabriel,6
03-29,city/community,city of san gabriel,6
03-30,city/community,city of san gabriel,6
03-28,city/community,city of san marino,0
03-29,city/community,city of san marino,0
03-30,city/community,city of san marino,0
03-28,city/community,city of santa clarita,32
03-29,city/community,city of santa clarita,38
03-30,city/community,city of santa clarita,41
03-28,city/community,city of santa fe springs,0
03-29,city/community,city of santa fe springs,0
03-30,city/community,city of santa fe springs,0
03-28,city/community,city of santa monica,38
03-29,city/community,city of santa monica,41
03-30,city/community,city of santa monica,47
03-28,city/community,city of sierra madre,0
03-29,city/community,city of sierra madre,0
03-30,city/community,city of sierra madre,0
03-28,city/community,city of signal hill,0
03-29,city/community,city of signal hill,0
03-30,city/community,city of signal hill,0
03-28,city/community,city of south el monte,0
03-29,city/community,city of south el monte,0
03-30,city/community,city of south el monte,0
03-28,city/community,city of south gate,11
03-29,city/community,city of south gate,12
03-30,city/community,city of south gate,14
03-28,city/community,city of south pasadena,3
03-29,city/community,city of south pasadena,5
03-30,city/community,city of south pasadena,5
03-28,city/community,city of temple city,1
03-29,city/community,city of temple city,2
03-30,city/community,city of temple city,1
03-28,city/community,city of torrance,32
03-29,city/community,city of torrance,34
03-30,city/community,city of torrance,43
03-28,city/community,city of vernon,0
03-29,city/community,city of vernon,0
03-30,city/community,city of vernon,0
03-28,city/community,city of walnut,2
03-29,city/community,city of walnut,3
03-30,city/community,city of walnut,3
03-28,city/community,city of west covina,5
03-29,city/community,city of west covina,6
03-30,city/community,city of west covina,7
03-28,city/community,city of west hollywood,50
03-29,city/community,city of west hollywood,52
03-30,city/community,city of west hollywood,53
03-28,city/community,city of westlake village,0
03-29,city/community,city of westlake village,0
03-30,city/community,city of westlake village,0
03-28,city/community,city of whittier,6
03-29,city/community,city of whittier,8
03-30,city/community,city of whittier,8
03-28,city/community,los angeles - adams-normandie,0
03-29,city/community,los angeles - adams-normandie,0
03-30,city/community,los angeles - adams-normandie,0
03-28,city/community,los angeles - alsace,0
03-29,city/community,los angeles - alsace,0
03-30,city/community,los angeles - alsace,0
03-28,city/community,los angeles - angeles national forest,0
03-29,city/community,los angeles - angeles national forest,0
03-30,city/community,los angeles - angeles national forest,0
03-28,city/community,los angeles - angelino heights,0
03-29,city/community,los angeles - angelino heights,0
03-30,city/community,los angeles - angelino heights,0
03-29,city/community,los angeles - arleta,5
03-30,city/community,los angeles - arleta,5
03-28,city/community,los angeles - atwater village,0
03-29,city/community,los angeles - atwater village,0
03-30,city/community,los angeles - atwater village,0
03-28,city/community,los angeles - baldwin hills,7
03-29,city/community,los angeles - baldwin hills,9
03-30,city/community,los angeles - baldwin hills,9
03-28,city/community,los angeles - bel air,8
03-29,city/community,los angeles - bel air,9
03-30,city/community,los angeles - bel air,9
03-28,city/community,los angeles - beverly crest,17
03-29,city/community,los angeles - beverly crest,18
03-30,city/community,los angeles - beverly crest,19
03-28,city/community,los angeles - beverlywood,10
03-29,city/community,los angeles - beverlywood,11
03-30,city/community,los angeles - beverlywood,11
03-28,city/community,los angeles - boyle heights,8
03-29,city/community,los angeles - boyle heights,10
03-30,city/community,los angeles - boyle heights,11
03-28,city/community,los angeles - brentwood,31
03-29,city/community,los angeles - brentwood,33
03-30,city/community,los angeles - brentwood,34
03-28,city/community,los angeles - brookside,0
03-29,city/community,los angeles - brookside,0
03-30,city/community,los angeles - brookside,0
03-28,city/community,los angeles - cadillac-corning,0
03-29,city/community,los angeles - cadillac-corning,0
03-30,city/community,los angeles - cadillac-corning,0
03-28,city/community,los angeles - canoga park,3
03-29,city/community,los angeles - canoga park,3
03-30,city/community,los angeles - canoga park,4
03-28,city/community,los angeles - carthay,9
03-29,city/community,los angeles - carthay,13
03-30,city/community,los angeles - carthay,15
03-28,city/community,los angeles - central,3
03-29,city/community,los angeles - central,4
03-30,city/community,los angeles - central,6
03-28,city/community,los angeles - century city,8
03-29,city/community,los angeles - century city,8
03-30,city/community,los angeles - century city,9
03-28,city/community,los angeles - century palms/cove,5
03-29,city/community,los angeles - century palms/cove,8
03-30,city/community,los angeles - century palms/cove,8
03-28,city/community,los angeles - chatsworth,4
03-29,city/community,los angeles - chatsworth,8
03-30,city/community,los angeles - chatsworth,10
03-28,city/community,los angeles - cheviot hills,0
03-29,city/community,los angeles - cheviot hills,0
03-30,city/community,los angeles - cheviot hills,5
03-28,city/community,los angeles - chinatown,0
03-29,city/community,los angeles - chinatown,0
03-30,city/community,los angeles - chinatown,0
03-28,city/community,los angeles - cloverdale/cochran,0
03-29,city/community,los angeles - cloverdale/cochran,0
03-30,city/community,los angeles - cloverdale/cochran,0
03-28,city/community,los angeles - country club park,0
03-29,city/community,los angeles - country club park,0
03-30,city/community,los angeles - country club park,0
03-28,city/community,los angeles - crenshaw district,0
03-29,city/community,los angeles - crenshaw district,0
03-30,city/community,los angeles - crenshaw district,0
03-28,city/community,los angeles - crestview,9
03-29,city/community,los angeles - crestview,11
03-30,city/community,los angeles - crestview,13
03-28,city/community,los angeles - del rey,10
03-29,city/community,los angeles - del rey,12
03-30,city/community,los angeles - del rey,14
03-28,city/community,los angeles - downtown,9
03-29,city/community,los angeles - downtown,10
03-30,city/community,los angeles - downtown,11
03-28,city/community,los angeles - eagle rock,8
03-29,city/community,los angeles - eagle rock,8
03-30,city/community,los angeles - eagle rock,8
03-28,city/community,los angeles - east hollywood,5
03-29,city/community,los angeles - east hollywood,6
03-30,city/community,los angeles - east hollywood,10
03-28,city/community,los angeles - echo park,0
03-29,city/community,los angeles - echo park,0
03-30,city/community,los angeles - echo park,5
03-28,city/community,los angeles - el sereno,1
03-29,city/community,los angeles - el sereno,3
03-30,city/community,los angeles - el sereno,3
03-28,city/community,los angeles - elysian park,0
03-29,city/community,los angeles - elysian park,0
03-30,city/community,los angeles - elysian park,0
03-28,city/community,los angeles - elysian valley,0
03-29,city/community,los angeles - elysian valley,0
03-30,city/community,los angeles - elysian valley,0
03-28,city/community,los angeles - encino,26
03-29,city/community,los angeles - encino,27
03-30,city/community,los angeles - encino,29
03-28,city/community,los angeles - exposition,0
03-29,city/community,los angeles - exposition,0
03-30,city/community,los angeles - exposition,0
03-28,city/community,los angeles - exposition park,4
03-29,city/community,los angeles - exposition park,4
03-30,city/community,los angeles - exposition park,4
03-28,city/community,los angeles - faircrest heights,0
03-29,city/community,los angeles - faircrest heights,0
03-30,city/community,los angeles - faircrest heights,0
03-28,city/community,los angeles - figueroa park square,0
03-29,city/community,los angeles - figueroa park square,0
03-30,city/community,los angeles - figueroa park square,0
03-28,city/community,los angeles - florence-firestone,6
03-29,city/community,los angeles - florence-firestone,6
03-30,city/community,los angeles - florence-firestone,7
03-28,city/community,los angeles - glassell park,7
03-29,city/community,los angeles - glassell park,7
03-30,city/community,los angeles - glassell park,8
03-28,city/community,los angeles - gramercy place,0
03-29,city/community,los angeles - gramercy place,0
03-30,city/community,los angeles - gramercy place,0
03-28,city/community,los angeles - granada hills,8
03-29,city/community,los angeles - granada hills,8
03-30,city/community,los angeles - granada hills,9
03-28,city/community,los angeles - green meadows,0
03-29,city/community,los angeles - green meadows,0
03-30,city/community,los angeles - green meadows,0
03-28,city/community,los angeles - hancock park,17
03-29,city/community,los angeles - hancock park,18
03-30,city/community,los angeles - hancock park,26
03-28,city/community,los angeles - harbor city,1
03-29,city/community,los angeles - harbor city,2
03-30,city/community,los angeles - harbor city,4
03-28,city/community,los angeles - harbor gateway,4
03-29,city/community,los angeles - harbor gateway,4
03-30,city/community,los angeles - harbor gateway,6
03-28,city/community,los angeles - harbor pines,0
03-29,city/community,los angeles - harbor pines,0
03-30,city/community,los angeles - harbor pines,0
03-28,city/community,los angeles - harvard heights,0
03-29,city/community,los angeles - harvard heights,0
03-30,city/community,los angeles - harvard heights,0
03-28,city/community,los angeles - harvard park,2
03-29,city/community,los angeles - harvard park,2
03-30,city/community,los angeles - harvard park,3
03-28,city/community,los angeles - highland park,6
03-29,city/community,los angeles - highland park,8
03-30,city/community,los angeles - highland park,9
03-28,city/community,los angeles - historic filipinotown,0
03-29,city/community,los angeles - historic filipinotown,0
03-30,city/community,los angeles - historic filipinotown,0
03-28,city/community,los angeles - hollywood,38
03-29,city/community,los angeles - hollywood,44
03-30,city/community,los angeles - hollywood,49
03-28,city/community,los angeles - hollywood hills,23
03-29,city/community,los angeles - hollywood hills,24
03-30,city/community,los angeles - hollywood hills,26
03-28,city/community,los angeles - hyde park,2
03-29,city/community,los angeles - hyde park,4
03-30,city/community,los angeles - hyde park,6
03-28,city/community,los angeles - jefferson park,0
03-29,city/community,los angeles - jefferson park,0
03-30,city/community,los angeles - jefferson park,0
03-28,city/community,los angeles - koreatown,10
03-29,city/community,los angeles - koreatown,10
03-30,city/community,los angeles - koreatown,13
03-28,city/community,los angeles - lafayette square,0
03-29,city/community,los angeles - lafayette square,0
03-30,city/community,los angeles - lafayette square,0
03-28,city/community,los angeles - lake balboa,6
03-29,city/community,los angeles - lake balboa,8
03-30,city/community,los angeles - lake balboa,11
03-28,city/community,los angeles - lakeview terrace,0
03-29,city/community,los angeles - lakeview terrace,0
03-30,city/community,los angeles - lakeview terrace,0
03-28,city/community,los angeles - leimert park,0
03-29,city/community,los angeles - leimert park,0
03-30,city/community,los angeles - leimert park,0
03-28,city/community,los angeles - lincoln heights,1
03-29,city/community,los angeles - lincoln heights,2
03-30,city/community,los angeles - lincoln heights,2
03-28,city/community,los angeles - little armenia,0
03-29,city/community,los angeles - little armenia,0
03-30,city/community,los angeles - little armenia,0
03-28,city/community,los angeles - little bangladesh,2
03-29,city/community,los angeles - little bangladesh,4
03-30,city/community,los angeles - little bangladesh,5
03-28,city/community,los angeles - little tokyo,0
03-29,city/community,los angeles - little tokyo,0
03-30,city/community,los angeles - little tokyo,0
03-28,city/community,los angeles - longwood,0
03-29,city/community,los angeles - longwood,0
03-30,city/community,los angeles - longwood,0
03-28,city/community,los angeles - los feliz,5
03-29,city/community,los angeles - los feliz,8
03-30,city/community,los angeles - los feliz,11
03-28,city/community,los angeles - manchester square,0
03-29,city/community,los angeles - manchester square,0
03-30,city/community,los angeles - manchester square,0
03-28,city/community,los angeles - mandeville canyon,0
03-29,city/community,los angeles - mandeville canyon,0
03-30,city/community,los angeles - mandeville canyon,0
03-28,city/community,los angeles - mar vista,8
03-29,city/community,los angeles - mar vista,9
03-30,city/community,los angeles - mar vista,13
03-28,city/community,los angeles - marina peninsula,0
03-29,city/community,los angeles - marina peninsula,0
03-30,city/community,los angeles - marina peninsula,0
03-28,city/community,los angeles - melrose,56
03-29,city/community,los angeles - melrose,71
03-30,city/community,los angeles - melrose,82
03-28,city/community,los angeles - mid-city,8
03-29,city/community,los angeles - mid-city,9
03-30,city/community,los angeles - mid-city,10
03-28,city/community,los angeles - miracle mile,8
03-29,city/community,los angeles - miracle mile,9
03-30,city/community,los angeles - miracle mile,10
03-28,city/community,los angeles - mission hills,5
03-29,city/community,los angeles - mission hills,5
03-30,city/community,los angeles - mission hills,6
03-28,city/community,los angeles - mt. washington,0
03-29,city/community,los angeles - mt. washington,0
03-30,city/community,los angeles - mt. washington,0
03-28,city/community,los angeles - north hills,2
03-29,city/community,los angeles - north hills,6
03-30,city/community,los angeles - north hills,7
03-28,city/community,los angeles - north hollywood,26
03-29,city/community,los angeles - north hollywood,30
03-30,city/community,los angeles - north hollywood,34
03-28,city/community,los angeles - northridge,8
03-29,city/community,los angeles - northridge,8
03-30,city/community,los angeles - northridge,8
03-28,city/community,los angeles - pacific palisades,11
03-29,city/community,los angeles - pacific palisades,15
03-30,city/community,los angeles - pacific palisades,18
03-28,city/community,los angeles - pacoima,3
03-29,city/community,los angeles - pacoima,3
03-30,city/community,los angeles - pacoima,4
03-28,city/community,los angeles - palisades highlands,0
03-29,city/community,los angeles - palisades highlands,0
03-30,city/community,los angeles - palisades highlands,0
03-28,city/community,los angeles - palms,15
03-29,city/community,los angeles - palms,20
03-30,city/community,los angeles - palms,21
03-28,city/community,los angeles - panorama city,4
03-29,city/community,los angeles - panorama city,6
03-30,city/community,los angeles - panorama city,7
03-28,city/community,los angeles - park la brea,0
03-29,city/community,los angeles - park la brea,0
03-30,city/community,los angeles - park la brea,0
03-28,city/community,los angeles - pico-union,4
03-29,city/community,los angeles - pico-union,4
03-30,city/community,los angeles - pico-union,5
03-28,city/community,los angeles - playa del rey,0
03-29,city/community,los angeles - playa del rey,0
03-30,city/community,los angeles - playa del rey,0
03-28,city/community,los angeles - playa vista,5
03-29,city/community,los angeles - playa vista,5
03-30,city/community,los angeles - playa vista,5
03-28,city/community,los angeles - porter ranch,3
03-29,city/community,los angeles - porter ranch,6
03-30,city/community,los angeles - porter ranch,6
03-28,city/community,los angeles - rancho park,0
03-29,city/community,los angeles - rancho park,0
03-30,city/community,los angeles - rancho park,0
03-28,city/community,los angeles - regent square,0
03-29,city/community,los angeles - regent square,0
03-30,city/community,los angeles - regent square,0
03-28,city/community,los angeles - reseda,11
03-29,city/community,los angeles - reseda,13
03-30,city/community,los angeles - reseda,20
03-28,city/community,los angeles - reseda ranch,0
03-29,city/community,los angeles - reseda ranch,0
03-30,city/community,los angeles - reseda ranch,0
